,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,Parking,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,isCanceled,RoomType_Room_Type 1,RoomType_Room_Type 2,RoomType_Room_Type 3,RoomType_Room_Type 4,RoomType_Room_Type 5,RoomType_Room_Type 6,RoomType_Room_Type 7,MealPlan_Meal Plan 1,MealPlan_Meal Plan 2,MealPlan_Meal Plan 3,MealPlan_Not Selected,MarketSegment_Aviation,MarketSegment_Complementary,MarketSegment_Corporate,MarketSegment_Offline,MarketSegment_Online
0,10,2018,3,31,0,1,0,1,0,0,0,0,95.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,11,2018,7,25,1,2,0,2,1,0,0,0,129.75,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,3,2017,9,12,0,1,0,2,0,0,0,0,152.0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,28,2018,3,7,1,3,0,2,0,0,0,0,87.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5,213,2018,6,7,0,3,0,2,0,0,0,0,130.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,35,2017,9,18,0,2,0,2,0,0,0,0,145.35,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,1,2018,11,9,2,4,0,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,346,2018,9,13,0,2,0,2,0,0,0,0,115.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9,79,2018,9,3,2,5,0,2,0,0,0,0,95.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,66,2017,11,19,0,3,0,2,2,0,0,0,135.0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
11,44,2018,6,18,1,1,0,2,0,0,0,0,96.3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
12,89,2018,7,25,1,2,0,3,0,0,0,0,137.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
13,280,2018,12,6,0,3,0,2,1,0,0,0,94.5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14,60,2017,9,21,1,1,0,2,0,0,0,0,65.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,43,2018,4,11,1,1,0,2,0,0,0,0,94.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16,0,2018,10,13,0,1,0,2,0,0,0,0,155.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
17,63,2018,1,19,0,2,0,1,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
18,34,2018,11,14,2,5,0,1,0,0,0,0,74.8,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19,20,2018,9,24,2,2,0,2,0,0,0,0,101.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,6,2018,10,31,1,3,0,1,0,0,0,0,121.75,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
21,14,2018,4,29,0,1,0,2,0,0,0,0,65.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,6,2018,1,12,0,2,0,2,0,0,0,0,69.5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,31,2018,11,14,2,5,0,2,0,0,0,0,64.67,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,4,2018,10,14,0,2,0,2,1,1,0,7,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
25,53,2018,9,17,2,2,0,2,1,0,0,0,80.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26,13,2018,1,20,2,8,0,1,0,0,0,0,75.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
27,6,2018,6,12,1,0,0,1,0,0,0,0,119.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,99,2018,9,12,1,2,0,2,0,0,0,0,125.1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,148,2018,4,29,2,7,0,2,0,0,0,0,71.37,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30,6,2018,9,15,0,2,0,1,0,0,0,0,159.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,131,2018,4,16,2,3,0,2,0,0,0,0,82.79,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,308,2018,11,25,0,2,0,2,0,0,0,0,52.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,118,2018,10,27,2,3,0,2,0,0,0,0,123.3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34,48,2018,9,19,1,1,0,2,0,0,0,0,135.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35,156,2018,8,8,2,5,0,2,0,0,0,0,72.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,97,2017,10,19,1,2,0,2,0,0,0,0,68.65,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37,1,2018,11,25,0,1,0,2,2,0,0,0,181.0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
38,10,2018,9,11,2,1,0,2,0,0,0,0,95.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39,80,2017,10,9,0,2,0,2,0,0,0,0,136.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
40,81,2018,3,9,0,3,0,2,0,0,0,0,67.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41,25,2018,12,27,0,3,0,3,0,0,0,0,60.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42,176,2018,8,9,0,3,0,3,0,0,0,0,137.7,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
