,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,Parking,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,isCanceled,RoomType_Room_Type 1,RoomType_Room_Type 2,RoomType_Room_Type 3,RoomType_Room_Type 4,RoomType_Room_Type 5,RoomType_Room_Type 6,RoomType_Room_Type 7,MealPlan_Meal Plan 1,MealPlan_Meal Plan 2,MealPlan_Meal Plan 3,MealPlan_Not Selected,MarketSegment_Aviation,MarketSegment_Complementary,MarketSegment_Corporate,MarketSegment_Offline,MarketSegment_Online,date,maxtemp,mintemp,sunhour,totalsnow
0,10,2018,3,31,0,1,0,1,0,0,0,0,95.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-03-31,11,7,9.0,0.0
9,173,2018,3,31,0,3,0,2,0,0,0,0,100.8,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
18,44,2018,3,31,0,1,0,1,0,0,0,0,104.4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
27,77,2018,3,31,0,3,0,2,0,0,0,0,76.5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
36,39,2018,3,31,0,3,0,3,0,0,0,0,150.3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
45,2,2018,3,31,0,2,0,1,0,0,0,0,126.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
54,82,2018,3,31,0,3,0,2,0,0,0,0,68.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
63,65,2018,3,31,1,3,0,2,0,0,0,0,76.93,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
72,64,2018,3,31,0,3,0,2,0,0,0,0,80.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
81,113,2018,3,31,0,3,0,2,0,0,0,0,78.15,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
90,60,2018,3,31,0,3,0,2,1,0,0,0,107.1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
99,17,2018,3,31,0,1,0,2,0,0,0,0,72.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-03-31,11,7,9.0,0.0
108,47,2018,3,31,2,4,0,2,1,0,0,0,106.53,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
117,0,2018,3,31,0,1,0,2,1,0,0,0,138.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
126,20,2018,3,31,0,2,0,1,0,0,0,0,79.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-03-31,11,7,9.0,0.0
135,86,2018,3,31,1,3,0,2,0,0,0,0,82.45,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-03-31,11,7,9.0,0.0
