BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,NumAdults,NumChildren,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
1,10,2018,3,31,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,95,0,Canceled
2,116,2018,2,28,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,61,0,Canceled
3,11,2018,7,25,1,2,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,129.75,1,Not_Canceled
4,3,2017,9,12,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,152,3,Not_Canceled
5,28,2018,3,7,1,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,87,0,Not_Canceled
6,213,2018,6,7,0,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,130,0,Canceled
7,35,2017,9,18,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,145.35,1,Not_Canceled
8,1,2018,11,9,2,4,Meal Plan 1,0,Room_Type 1,1,0,Complementary,0,0,0,0,1,Not_Canceled
9,346,2018,9,13,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,115,1,Canceled
10,79,2018,9,3,2,5,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,95,0,Not_Canceled
11,66,2017,11,19,0,3,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,135,3,Not_Canceled
12,44,2018,6,18,1,1,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,96.3,0,Not_Canceled
13,89,2018,7,25,1,2,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,137.7,0,Canceled
14,280,2018,12,6,0,3,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,94.5,2,Canceled
15,60,2017,9,21,1,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,65,0,Not_Canceled
16,43,2018,4,11,1,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,94.5,1,Not_Canceled
17,0,2018,10,13,0,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,155,1,Not_Canceled
18,63,2018,1,19,0,2,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,71,0,Not_Canceled
19,34,2018,11,14,2,5,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,74.8,2,Canceled
20,20,2018,9,24,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,101.2,0,Not_Canceled
21,6,2018,10,31,1,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,121.75,2,Not_Canceled
22,14,2018,4,29,0,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,65,0,Not_Canceled
23,6,2018,1,12,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,69.5,2,Not_Canceled
24,31,2018,11,14,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,64.67,1,Not_Canceled
25,4,2018,10,14,0,2,Meal Plan 1,0,Room_Type 1,2,1,Complementary,1,0,7,0,1,Not_Canceled
26,53,2018,9,17,2,2,Meal Plan 1,0,Room_Type 1,2,1,Offline,0,0,0,80.75,0,Not_Canceled
27,13,2018,1,20,2,8,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,75,0,Not_Canceled
28,6,2018,6,12,1,0,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,119,1,Canceled
29,99,2018,9,12,1,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,125.1,0,Canceled
30,148,2018,4,29,2,7,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,71.37,0,Not_Canceled
31,6,2018,9,15,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,159,1,Canceled
32,131,2018,4,16,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,82.79,2,Not_Canceled
33,308,2018,11,25,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,52,0,Canceled
34,118,2018,10,27,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,123.3,0,Canceled
35,48,2018,9,19,1,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,135.9,1,Not_Canceled
36,156,2018,8,8,2,5,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,72.25,0,Not_Canceled
37,97,2017,10,19,1,2,Meal Plan 1,0,Room_Type 2,2,0,Online,0,0,0,68.65,2,Not_Canceled
38,1,2018,11,25,0,1,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,181,2,Not_Canceled
39,10,2018,9,11,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,95,0,Not_Canceled
40,80,2017,10,9,0,2,Meal Plan 2,0,Room_Type 4,2,0,Offline,0,0,0,136,0,Not_Canceled
41,81,2018,3,9,0,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,67.5,1,Not_Canceled
42,25,2018,12,27,0,3,Meal Plan 1,0,Room_Type 1,3,0,Offline,0,0,0,60,1,Not_Canceled
43,176,2018,8,9,0,3,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,137.7,2,Canceled
44,108,2018,7,16,2,5,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,121.37,0,Canceled
45,433,2018,9,8,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,70,0,Canceled
46,48,2017,9,11,0,1,Meal Plan 2,0,Room_Type 1,1,0,Offline,0,0,0,80,0,Not_Canceled
47,141,2018,5,18,0,2,Meal Plan 1,0,Room_Type 4,3,0,Offline,0,0,0,115.61,1,Not_Canceled
48,1,2017,8,20,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,106,3,Not_Canceled
49,21,2018,2,6,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,91,0,Canceled
50,1,2018,9,29,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,106.2,1,Not_Canceled
51,45,2018,4,13,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,94.5,1,Not_Canceled
52,1,2018,2,19,0,1,Meal Plan 1,1,Room_Type 1,2,0,Corporate,0,0,0,91,0,Not_Canceled
