date,maxtemp,mintemp,sunhour,totalsnow
2017-01-01,7,-4,8.9,0
2017-01-02,7,-2,8.9,0
2017-01-03,8,-2,8.5,0
2017-01-04,8,-3,8.9,0
2017-01-05,5,-2,8.9,0
2017-01-06,4,-3,8.9,0
2017-01-07,1,-5,8.9,0
2017-01-08,2,-4,8.9,0
2017-01-09,4,-4,9.0,0
2017-01-02,7,-2,8.9,0
2017-01-03,8,-2,8.5,0
2017-01-04,8,-3,8.9,0
2017-01-05,5,-2,8.9,0
2017-01-06,4,-3,8.9,0
2017-01-07,1,-5,8.9,0
2017-01-08,2,-4,8.9,0
2017-01-09,4,-4,9.0,0
2017-01-10,1,-3,7.0,0
2017-01-03,8,-2,8.5,0
2017-01-04,8,-3,8.9,0
2017-01-05,5,-2,8.9,0
2017-01-06,4,-3,8.9,0
2017-01-07,1,-5,8.9,0
2017-01-08,2,-4,8.9,0
2017-01-09,4,-4,9.0,0
2017-01-10,1,-3,7.0,0
2017-01-11,1,-4,8.3,0
2017-01-04,8,-3,8.9,0
2017-01-05,5,-2,8.9,0
2017-01-06,4,-3,8.9,0
2017-01-07,1,-5,8.9,0
2017-01-08,2,-4,8.9,0
2017-01-09,4,-4,9.0,0
2017-01-10,1,-3,7.0,0
2017-01-11,1,-4,8.3,0
2017-01-12,4,-1,8.8,0
2017-01-05,5,-2,8.9,0
2017-01-06,4,-3,8.9,0
2017-01-07,1,-5,8.9,0
2017-01-08,2,-4,8.9,0
2017-01-09,4,-4,9.0,0
2017-01-10,1,-3,7.0,0
2017-01-11,1,-4,8.3,0
2017-01-12,4,-1,8.8,0
2017-01-13,4,-1,7.5,2.8
2017-01-06,4,-3,8.9,0
2017-01-07,1,-5,8.9,0
2017-01-08,2,-4,8.9,0
2017-01-09,4,-4,9.0,0
2017-01-10,1,-3,7.0,0
2017-01-11,1,-4,8.3,0
2017-01-12,4,-1,8.8,0
2017-01-13,4,-1,7.5,2.8
2017-01-14,6,-3,9.5,0
