,Player
0,vitaly abramov
1,noel acciari
2,calen addison
3,kenny agostino
4,andrew agozzino
5,jack ahcan
6,sebastian aho
7,sebastian aho
8,frederic allard
9,wade allison
10,olle alsing
11,mark alt
12,michael amadio
13,michael amadio
14,michael amadio
15,joey anderson
16,josh anderson
17,michael anderson
18,jaret anderson-dolan
19,lias andersson
20,rasmus andersson
21,andy andreoff
22,anthony angello
23,artem anisimov
24,mason appleton
25,josh archibald
26,joel armia
27,viktor arvidsson
28,rasmus asplund
29,zach aston-reese
30,andreas athanasiou
31,cam atkinson
32,nicolas aube-kubel
33,david backes
34,mikael backlund
35,nicklas backstrom
36,kevin bahl
37,josh bailey
38,justin bailey
39,rudolfs balcers
40,alexander barabanov
41,alexander barabanov
42,alexander barabanov
43,ivan barbashev
44,aleksander barkov
45,alex barre-boulet
46,tyson barrie
47,morgan barron
48,matt bartkowski
49,mathew barzal
50,nathan bastian
51,drake batherson
52,gavin bayreuther
53,jay beagle
54,jake bean
55,ethan bear
56,nicolas beaudin
57,nathan beaulieu
58,anthony beauvillier
59,pierre-edouard bellemare
60,kieffer bellows
61,louis belpedio
62,alex belzile
63,emil bemstrom
64,jamie benn
65,jordie benn
66,jordie benn
67,jordie benn
68,sam bennett
69,sam bennett
70,sam bennett
71,matt benning
72,simon benoit
73,patrice bergeron
74,lean bergmann
75,jacob bernard-docker
76,tyler bertuzzi
77,alex biega
78,clark bishop
79,anthony bitetto
80,anders bjork
81,anders bjork
82,anders bjork
83,oliver bjorkstrand
84,tobias bjornfot
85,nick bjugstad
86,colin blackwell
87,sammy blais
88,joachim blichfeld
89,anton blidh
90,teddy blueger
91,brock boeser
92,zach bogosian
93,nick bonino
94,adam boqvist
95,jesper boqvist
96,william borgen
97,andreas borgman
98,mark borowiecki
99,robert bortuzzo
100,evan bouchard
101,madison bowey
102,travis boyd
103,travis boyd
104,travis boyd
105,tyler bozak
106,erik brannstrom
107,derick brassard
108,jesper bratt
109,justin braun
110,guillaume brisebois
111,t.j. brodie
112,jonas brodin
113,jonny brodzinski
114,mathias brome
115,adam brooks
116,connor brown
117,dustin brown
118,josh brown
119,logan brown
120,patrick brown
121,jacob bryson
122,pavel buchnevich
123,connor bunnaman
124,michael bunting
125,andre burakovsky
126,brent burns
127,kyle burroughs
128,will butcher
129,quinton byfield
130,bowen byram
131,paul byron
132,nicholas caamano
133,drake caggiula
134,drake caggiula
135,drake caggiula
136,matt calvert
137,kyle capobianco
138,brandon carlo
139,john carlson
140,gabriel carlsson
141,lucas carlsson
142,ryan carpenter
143,daniel carr
144,connor carrick
145,sam carrick
146,alexandre carrier
147,william carrier
